board_code,board_name,pct,main_net_inflow,leader_code,leader_name,leader_pct
BK1518,种子,7.86,281576464.0,600354,敦煌种业,10.05
BK1296,视频媒体,6.58,55417068.0,300413,芒果超媒,6.58
BK1341,房产租赁经纪,5.28,112027456.0,002285,世联行,10.04
BK1510,其他养殖,5.13,68579263.0,002321,华英农业,10.1
BK1261,种植业,5.06,215388800.0,600354,敦煌种业,10.05
BK1523,汽车经销商,3.96,58068878.0,600822,上海物贸,9.96
BK1547,跨境电商,3.47,240094984.0,002640,跨境通,9.91
BK1489,快递,3.32,115411931.0,002468,申通快递,6.07
BK1342,房地产综合服务,3.26,4196803.0,600684,珠江股份,3.26
BK1351,印染,3.13,32327949.0,600448,华纺股份,9.9
BK1516,其他种植业,3.13,-82027568.0,600108,亚盛集团,6.82
BK1016,汽车服务,3.13,74275242.0,600822,上海物贸,9.96
BK1556,教育运营及其他,3.11,-37100413.0,300010,ST豆神,7.63
BK1531,商用载客车,3.05,81519698.0,000868,安凯客车,10.03
BK1562,人工景区,2.91,88111774.0,600593,大连圣亚,10.01
BK1404,农用机械,2.82,11781043.0,920895,花溪科技,19.4
BK1548,综合电商,2.62,39672906.0,603613,国联股份,6.11
BK1557,培训教育,2.39,18709111.0,300338,*ST开元,7.51
BK1268,互联网电商,2.34,301808288.0,002640,跨境通,9.91
BK1429,食品及饲料添加剂,2.29,5584080.0,300741,华宝股份,20.01
BK1482,航运,2.21,714604896.0,601872,招商轮船,10.02
BK1504,粮油加工,2.21,379342592.0,600127,金健米业,9.97
BK1289,大众出版,2.18,6385613.0,603230,内蒙新华,9.96
BK1458,个护小家电,2.08,4181530.0,603868,飞科电器,5.17
BK1218,出版,2.03,38310522.0,603230,内蒙新华,9.96
BK1313,风电零部件,2.03,277837792.0,603248,锡华科技,10.0
BK1517,食用菌,2.01,22703588.0,300970,华绿生物,4.32
BK0740,教育,2.0,-38672985.0,300010,ST豆神,7.63
BK1515,粮食种植,1.99,-6863695.0,601952,苏垦农发,3.1
BK1600,医疗研发外包,1.98,1342983216.0,600721,百花医药,10.01
BK1354,鞋帽及其他,1.97,59025063.0,603608,天创时尚,4.84
BK1462,玻纤制造,1.87,758354688.0,300196,长海股份,6.04
BK1596,其他生物制品,1.83,284134608.0,688137,近岸蛋白,18.75
BK1292,广告媒体,1.8,19755564.0,000607,华媒控股,3.86
BK1290,教育出版,1.77,31924908.0,605577,龙版传媒,9.97
BK1032,风电设备,1.73,260671312.0,603248,锡华科技,10.0
BK1519,电动乘用车,1.72,216948096.0,601127,赛力斯,3.51
BK1505,其他农产品加工,1.71,-14469816.0,000911,*ST广糖,5.37
BK0546,玻璃玻纤,1.7,1027961344.0,600293,三峡新材,10.03
BK1543,娱乐用品,1.67,807551.0,301335,天元宠物,7.19
BK1221,数字媒体,1.65,379606560.0,300987,川网传媒,8.29
BK0433,农林牧渔,1.61,185648480.0,600127,金健米业,9.97
BK1529,汽车电子电气系统,1.6,718598048.0,001365,天海电子,10.0
BK1045,房地产服务,1.59,88833854.0,002285,世联行,10.04
BK1266,文娱用品,1.58,5876511.0,301335,天元宠物,7.19
BK1262,乘用车,1.57,479198720.0,000572,海马汽车,7.92
BK1294,门户网站,1.57,216674656.0,300987,川网传媒,8.29
BK1256,农产品加工,1.55,359995952.0,600127,金健米业,9.97
BK1461,玻璃制造,1.55,269606884.0,600293,三峡新材,10.03
BK1335,面板,1.55,2308679424.0,300939,秋田微,17.63
BK1264,商用车,1.54,106524772.0,000868,安凯客车,10.03
BK1044,生物制品,1.49,295964032.0,688137,近岸蛋白,18.75
BK1520,综合乘用车,1.49,262250609.0,000572,海马汽车,7.92
BK1526,底盘与发动机系统,1.48,1810156992.0,000981,山子高科,9.85
BK1395,机床工具,1.47,109530258.0,002903,宇环数控,6.29
BK1220,广告营销,1.46,-66011456.0,300061,旗天科技,7.91
BK1524,汽车综合服务,1.46,16206364.0,300825,阿尔特,2.13
BK1291,电视广播Ⅲ,1.45,25038213.0,920021,流金科技,4.89
BK1219,电视广播Ⅱ,1.45,25038213.0,920021,流金科技,4.89
BK1293,营销代理,1.42,-85767024.0,300061,旗天科技,7.91
BK1582,烘焙食品,1.39,17690429.0,603886,元祖股份,4.66
BK1595,原料药,1.39,-72329504.0,688356,键凯科技,7.21
BK1211,汽车,1.35,3707594576.0,000868,安凯客车,10.03
BK0727,医疗服务,1.34,1259167744.0,600721,百花医药,10.01
BK0481,汽车零部件,1.33,3040202176.0,000981,山子高科,9.85
BK1599,其他医疗服务,1.32,13612773.0,000504,南华生物,10.04
BK1522,其他运输设备,1.32,-7508177.0,900915,ST中路B,3.55
BK1319,硅料硅片,1.32,-102521988.0,300345,华民股份,9.43
BK1542,文化用品,1.31,5068969.0,300703,创源股份,2.82
BK0486,传媒,1.3,201251216.0,603230,内蒙新华,9.96
BK1525,车身附件及饰件,1.3,301473296.0,600609,金杯汽车,10.15
BK1603,体外诊断,1.27,147370176.0,688426,康为世纪,3.96
BK1299,影视动漫制作,1.26,-18162272.0,600088,中视传媒,7.64
BK1222,影视院线,1.25,4861536.0,600088,中视传媒,7.64
BK1506,农业综合Ⅲ,1.24,11947496.0,300021,大禹节水,2.09
BK1257,农业综合Ⅱ,1.24,11947496.0,300021,大禹节水,2.09
BK1300,院线,1.23,23023794.0,300528,幸福蓝海,2.87
