trade_date,code,name,lb_num,first_limit_time,last_limit_time,open_times,seal_amount,turnover,amount,industry
20260907,002702,海欣食品,2,09:25,09:25,0,168242696.0,2.067415714263916,58517144.0,食品加工
20260907,002881,美格智能,1,09:25,09:25,0,156973109.0,1.6585546731948853,140164214.0,通信设备
20260907,600108,亚盛集团,3,09:25,09:25,0,454587470.0,1.0875449180603027,101633170.0,种植业
20260907,001296,长江材料,1,09:30,09:30,0,27724400.0,6.9557576179504395,123925208.0,非金属材
20260907,001366,播恩集团,2,09:30,09:30,0,328227114.0,3.4794199466705322,88316740.0,饲料
20260907,600865,百大集团,3,09:30,09:30,0,368563038.0,4.684093952178955,220018385.0,一般零售
20260907,603083,剑桥科技,1,09:30,09:33,1,630820799.0,6.2256340980529785,3544718640.0,通信设备
20260907,000735,罗 牛 山,2,09:30,09:30,0,89476768.0,4.458078384399414,345449520.0,养殖业
20260907,603696,安记食品,2,09:30,09:31,1,45701943.0,6.558530807495117,255149129.0,调味发酵
20260907,605577,龙版传媒,6,09:30,09:30,0,111772786.0,3.338653564453125,250953708.0,出版
20260907,601086,国芳集团,1,09:31,09:40,2,139620704.0,8.878472328186035,808732960.0,一般零售
20260907,603118,共进股份,1,09:31,09:31,0,171966569.0,4.64169979095459,646068512.0,通信设备
20260907,600354,敦煌种业,2,09:32,09:34,2,91690588.0,11.50738525390625,569165440.0,种植业
20260907,603626,科森科技,1,09:32,09:35,2,61018905.0,5.506383895874023,596844336.0,消费电子
20260907,000798,中水渔业,2,09:33,09:33,0,89908292.0,6.683701992034912,266169753.0,渔业
20260907,002909,集泰股份,1,09:33,09:57,5,53811869.0,27.512056350708008,812185792.0,化学制品
20260907,002564,天沃科技,2,09:33,09:33,0,56686696.0,4.001143455505371,181942410.0,专用设备
20260907,600127,金健米业,1,09:34,09:35,1,279299992.0,21.495094299316406,1833838416.0,农产品加
20260907,603823,百合花,1,09:34,09:48,1,158582692.0,3.2666852474212646,777548480.0,化学制品
20260907,000823,超声电子,1,09:34,09:37,3,170453130.0,8.924453735351562,833771184.0,元件
20260907,688655,迅捷兴,1,09:36,09:45,4,71248810.0,9.566338539123535,620997216.0,元件
20260907,603826,坤彩科技,1,09:36,09:36,0,65726641.0,0.7846952080726624,113823699.0,非金属材
20260907,600330,天通股份,1,09:37,09:39,2,186205612.0,6.3552165031433105,2239423728.0,电子化学
20260907,600791,京能置业,1,09:38,09:46,1,33709284.0,5.205737590789795,184844814.0,房地产开
20260907,002579,中京电子,1,09:38,09:41,1,161398611.0,16.242948532104492,1441138160.0,元件
20260907,002963,豪尔赛,1,09:39,10:09,1,91136706.0,8.464877128601074,274726816.0,装修装饰
