trade_date,code,secucode,name,close_price,change_rate,turnover_rate,accum_amount,lhb_net_amt,lhb_buy_amt,lhb_sell_amt,deal_amount_ratio,deal_net_ratio,reason,reason_type,market,trade_market,buy_seats,sell_seats,buy_ratio,sell_ratio
20260914,300903,300903.SZ,科翔股份,108.3,20.0,9.9331,3508513363.0,889082291.99,1277195928.3,388113636.31,47.46482034733,25.340712717987,日涨幅达到15%的前5只证券,1家机构买入，成功率42.63%,SZ,深交所创业板,11113.0,11113.0,35.422490378299,10.220646151775
20260914,600172,600172.SH,黄河旋风,16.53,9.98,23.7422,4892615601.0,585149185.9,837514315.82,252365129.92,22.27600806238,11.959843846723,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,普通席位买入，成功率44.46%,SH,上交所主板,11111.0,11111.0,17.117925954552,5.158082107828
20260914,001232,001232.SZ,嘉立创,197.68,8.3297,27.0798,3589415560.0,436100574.33,916035943.0,479935368.67,38.891326131934,12.149626228566,连续三个交易日内，涨幅偏离值累计达到20%的证券,3家机构买入，成功率34.71%,SZ,深交所主板,33113.0,13333.0,20.615852103233,11.480897777965
20260914,001896,001896.SZ,豫能控股,12.99,9.9915,11.0835,2170406142.0,351141738.64,479114083.48,127972344.84,27.971097969737,16.178618915832,日涨幅偏离值达到7%的前5只证券,1家机构买入，成功率45.24%,SZ,深交所主板,11113.0,11111.0,21.393365715973,5.459084755944
20260914,002897,002897.SZ,意华股份,71.39,10.0,13.2549,1621049895.0,321916129.8,559054639.66,237138509.86,49.115894086653,19.858496076705,日振幅值达到15%的前5只证券,3家机构买入，成功率39.04%,SZ,深交所主板,13133.0,13133.0,28.396249360357,14.617354011796
20260914,002897,002897.SZ,意华股份,71.39,10.0,13.2549,1621049895.0,321916129.8,559054639.66,237138509.86,49.115894086653,19.858496076705,日涨幅偏离值达到7%的前5只证券,3家机构买入，成功率39.04%,SZ,深交所主板,13133.0,13133.0,28.396249360357,14.617354011796
20260914,000636,000636.SZ,风华高科,58.9,5.1974,19.1456,27408111647.0,283486555.19,3843313035.69,3559826480.5,27.010760943833,1.034316259512,连续三个交易日内，涨幅偏离值累计达到20%的证券,4家机构买入，成功率28.67%,SZ,深交所主板,13333.0,13333.0,12.097191414108,12.070038239581
20260914,002579,002579.SZ,中京电子,18.79,10.0117,25.4909,2637352990.0,280625018.47,597509024.21,316884005.74,34.670862543508,10.640404205809,日振幅值达到15%的前5只证券,1家机构买入，成功率43.15%,SZ,深交所主板,11131.0,13333.0,18.600730993162,11.986602549551
20260914,002579,002579.SZ,中京电子,18.79,10.0117,25.4909,2637352990.0,280625018.47,597509024.21,316884005.74,34.670862543508,10.640404205809,日涨幅偏离值达到7%的前5只证券,1家机构买入，成功率43.15%,SZ,深交所主板,11131.0,13333.0,18.600730993162,11.986602549551
20260914,000823,000823.SZ,超声电子,22.63,10.0146,19.2517,2490848829.0,273388982.55,591301672.08,317912689.53,36.502189575873,10.97573563546,日涨幅偏离值达到7%的前5只证券,主力做T，成功率46.61%,SZ,深交所主板,11111.0,13311.0,22.780985882142,12.593564124722
20260914,002552,002552.SZ,宝鼎科技,54.0,8.0,14.9391,2902361269.0,265483780.07,681094260.19,415610480.12,37.786637798122,9.14716520323,日振幅值达到15%的前5只证券,2家机构买入，成功率41.64%,SZ,深交所主板,11331.0,13131.0,20.173508668401,12.849227389548
20260914,600488,600488.SH,津药药业,5.89,10.0935,10.9373,672027089.0,241258963.82,278067536.0,36808572.18,46.854674957902,35.900184348075,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,普通席位买入，成功率44.19%,SH,上交所主板,11111.0,11111.0,41.377429652988,5.477245304914
20260914,002585,002585.SZ,双星新材,10.96,10.0402,11.4473,2144036635.0,219720106.93,406040406.53,186320299.6,27.628292187741,10.247964206544,连续三个交易日内，涨幅偏离值累计达到20%的证券,主力做T，成功率27.85%,SZ,深交所主板,11111.0,11111.0,17.140908999907,8.589638954559
20260914,688260,688260.SH,昀冢科技,119.47,8.7079,9.7717,2493247300.0,182563740.35,420720596.8,238156856.45,26.426478161633,7.322327807193,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券,2家机构买入，成功率41.64%,SH,上交所科创板,13113.0,11111.0,16.874402984413,9.55207517722
20260914,688813,688813.SH,泰金新能,142.3,12.4812,33.501,1369550900.0,148220018.31,379700540.45,231480522.14,44.626385378594,10.822527173689,有价格涨跌幅限制的日换手率达到30%的前五只证券,2家机构买入，成功率41.39%,SH,上交所科创板,31113.0,11111.0,27.724456276141,16.901929102452
20260914,603618,603618.SH,杭电股份,41.47,1.8669,15.9669,4410025521.0,137495666.43,393640052.38,256144385.95,14.734255736975,3.117797522379,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,1家机构买入，成功率52.10%,SH,上交所主板,13111.0,11111.0,8.926026629677,5.808229107298
20260914,000993,000993.SZ,闽东电力,15.27,10.0144,12.2516,1511076875.0,129739914.33,266721947.25,136982032.92,26.716309861469,8.585924149623,连续三个交易日内，涨幅偏离值累计达到20%的证券,普通席位买入，成功率34.63%,SZ,深交所主板,11111.0,11111.0,13.587188689524,7.967927371003
20260914,002560,002560.SZ,通达股份,7.57,10.0291,12.4232,1128324626.0,97167060.12,235833322.52,138666262.4,33.190765874501,8.611622744109,连续三个交易日内，涨幅偏离值累计达到20%的证券,1家机构买入，成功率33.69%,SZ,深交所主板,11131.0,13131.0,18.569825907531,12.13647702483
20260914,002172,002172.SZ,澳洋健康,5.02,10.0877,31.5122,1165320728.0,96488057.6,208110093.0,111622035.4,27.437264327113,8.279957206768,日换手率达到20%的前5只证券,主力做T，成功率28.04%,SZ,深交所主板,11111.0,13331.0,15.168108551828,9.494234740841
20260914,300112,300112.SZ,万讯自控,10.46,14.8189,34.0456,937814406.0,91630308.6,188393602.67,96763294.07,30.406538320974,9.770622845391,日换手率达到30%的前5只证券,4家机构买入，成功率39.02%,SZ,深交所创业板,31333.0,33311.0,17.609113226824,8.597194340817
20260914,688137,688137.SH,近岸蛋白,76.8,20.0,13.0275,648451700.0,73248895.32,109123799.7,35874904.38,22.360756256788,11.295967813794,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,普通席位买入，成功率44.07%,SH,上交所科创板,11111.0,11111.0,16.828362035291,5.532394221497
