trade_date,code,name,main_net_inflow,super_net_inflow,big_net_inflow
20260914,002790,瑞尔特,-110819928.0,15456253.0,-126276181.0
20260914,600929,雪天盐业,-44535575.0,13938959.0,-58474534.0
20260914,603082,北自科技,35126539.0,34739320.0,387219.0
20260914,002040,南 京 港,116953122.0,127504999.0,-10551877.0
20260914,603230,内蒙新华,13166993.0,-6269484.0,19436477.0
20260914,601279,英利汽车,32702866.0,21480408.0,11222458.0
20260914,600609,金杯汽车,46893662.0,36859024.0,10034638.0
20260914,002339,积成电子,3413391.0,838457.0,2574934.0
20260914,002876,三利谱,23580684.0,29765098.0,-6184414.0
20260914,603773,沃格光电,194291932.0,157963612.0,36328320.0
20260914,002349,精华制药,236077361.0,237937665.0,-1860304.0
20260914,301528,多浦乐,55835718.0,63839890.0,-8004172.0
20260914,603683,晶华新材,89524626.0,96347697.0,-6823071.0
20260914,000713,国投丰乐,94638384.0,62726499.0,31911885.0
20260914,002552,宝鼎科技,329015664.0,324260688.0,4754976.0
20260914,600738,丽尚国潮,30480979.0,5940436.0,24540543.0
20260914,003033,征和工业,32089226.0,10730098.0,21359128.0
