trade_date,code,name,main_net_inflow,super_net_inflow,big_net_inflow
20260922,003040,楚天龙,-91122179.0,-94406835.0,3284656.0
20260922,603727,博迈科,-1923108.0,-2021606.0,98498.0
20260922,600707,彩虹股份,-191907385.0,-140540841.0,-51366544.0
20260922,605068,明新旭腾,4927163.0,336531.0,4590632.0
20260922,600869,远东股份,-576947984.0,-541089152.0,-35858832.0
20260922,000559,万向钱潮,-173522660.0,-123229132.0,-50293528.0
20260922,600391,航发科技,-47423035.0,-54053178.0,6630143.0
20260922,301008,宏昌科技,-16371299.0,-24593279.0,8221980.0
20260922,002623,亚玛顿,-26597751.0,-482825.0,-26114926.0
20260922,002094,青岛金王,-11477806.0,-4682842.0,-6794964.0
20260922,001282,三联锻造,70147.0,-180889.0,251036.0
20260922,000070,特发信息,-110564192.0,-39412624.0,-71151568.0
20260922,600308,华泰股份,5157265.0,-653707.0,5810972.0
20260922,600303,曙光股份,3622429.0,10416730.0,-6794301.0
20260922,300426,华智数媒,-16918637.0,-6838019.0,-10080618.0
20260922,600675,中华企业,-51781771.0,-41367328.0,-10414443.0
20260922,002169,智光电气,-99070491.0,-43394526.0,-55675965.0
20260922,600383,金地集团,-125926476.0,-59609702.0,-66316774.0
20260922,000002,万  科Ａ,-221940896.0,-272564304.0,50623408.0
20260922,603351,威尔药业,2758326.0,566512.0,2191814.0
20260922,002482,广田集团,5371747.0,-3090289.0,8462036.0
20260922,002199,东晶电子,-3187806.0,5821017.0,-9008823.0
20260922,603997,继峰股份,-65478660.0,-10086716.0,-55391944.0
20260922,000823,超声电子,120312224.0,84244592.0,36067632.0
20260922,002909,集泰股份,35224343.0,3825004.0,31399339.0
