trade_date,code,name,seat_code,seat_name,seat_abbr,act_buy,act_sell,net_amt,reason,change_rate
20260911,603601,再升科技,10038679,平安证券股份有限公司浙江分公司,平安证券浙江分公司,47438397.0,,47438397.0,有价格涨跌幅限制的日换手率达到20%的前五只证券,8.3333
20260911,603601,再升科技,10000399618,高盛(中国)证券有限责任公司上海浦东新区世纪大道证券营业部,高盛(中国)证券上海浦东新区世纪大道证券营业部,46125488.01,,46125488.01,有价格涨跌幅限制的日换手率达到20%的前五只证券,8.3333
20260911,001232,嘉立创,10361413,中信证券股份有限公司北京总部证券营业部,中信证券北京总部证券营业部,45393872.32,87114.0,45306758.32,日涨幅偏离值达到7%的前5只证券,10.0006
20260911,300563,神宇股份,10485107,国新证券股份有限公司北京分公司,国新证券北京分公司,44931133.0,0.0,44931133.0,日涨幅达到15%的前5只证券,19.9828
20260911,300563,神宇股份,10026937,国泰海通证券股份有限公司武汉紫阳东路证券营业部,国泰海通证券武汉紫阳东路证券营业部,44042510.0,30051.0,44012459.0,日涨幅达到15%的前5只证券,19.9828
20260911,603466,风语筑,10434470,沪股通专用,沪股通专用,50497325.38,8495203.18,42002122.2,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,10.0332
20260911,600127,金健米业,10456710,国盛证券股份有限公司宁波桑田路证券营业部,国盛证券宁波桑田路证券营业部,40813488.28,,40813488.28,有价格涨跌幅限制的日换手率达到20%的前五只证券,-3.2143
20260911,002201,九鼎新材,10634757,深股通专用,深股通专用,90408944.51,49933158.78,40475785.73,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.0198
20260911,000823,超声电子,10430845,国泰海通证券股份有限公司上海静安区新闸路证券营业部,国泰海通证券上海静安区新闸路证券营业部,40478834.0,1307493.0,39171341.0,日换手率达到20%的前5只证券,10.0
20260911,000823,超声电子,10430845,国泰海通证券股份有限公司上海静安区新闸路证券营业部,国泰海通证券上海静安区新闸路证券营业部,40478834.0,1307493.0,39171341.0,日涨幅偏离值达到7%的前5只证券,10.0
