trade_date,code,name,main_net_inflow,super_net_inflow,big_net_inflow
20260915,002790,瑞尔特,-53464944.0,-59913477.0,6448533.0
20260915,600929,雪天盐业,-28851777.0,-28059142.0,-792635.0
20260915,603136,天目湖,-32324694.0,-20262982.0,-12061712.0
20260915,603082,北自科技,15173800.0,75244182.0,-60070382.0
20260915,001299,美能能源,-17295661.0,-1795685.0,-15499976.0
20260915,603188,亚邦股份,-1232679.0,-1575000.0,342321.0
20260915,600798,宁波海运,-39709661.0,-28800144.0,-10909517.0
20260915,002040,南 京 港,-5421738.0,5147345.0,-10569083.0
20260915,603230,内蒙新华,-1725945.0,-4698503.0,2972558.0
20260915,600280,中央商场,-26530457.0,-5673045.0,-20857412.0
20260915,600609,金杯汽车,-3189973.0,-824491.0,-2365482.0
20260915,002848,高斯贝尔,-5809740.0,-19593445.0,13783705.0
20260915,603773,沃格光电,141595040.0,37504208.0,104090832.0
20260915,002349,精华制药,-74223724.0,-68369781.0,-5853943.0
20260915,002134,天津普林,-15719074.0,15204963.0,-30924037.0
20260915,603661,恒林股份,-6685694.0,2675747.0,-9361441.0
20260915,603683,晶华新材,-12886017.0,-5203588.0,-7682429.0
20260915,300112,万讯自控,-73747091.0,-48298650.0,-25448441.0
20260915,000713,国投丰乐,-44428842.0,-62145940.0,17717098.0
20260915,002552,宝鼎科技,-18695039.0,-11386799.0,-7308240.0
20260915,600738,丽尚国潮,-14083279.0,-1362498.0,-12720781.0
20260915,003033,征和工业,14178337.0,-5778343.0,19956680.0
