trade_date,code,secucode,name,close_price,change_rate,turnover_rate,accum_amount,lhb_net_amt,lhb_buy_amt,lhb_sell_amt,deal_amount_ratio,deal_net_ratio,reason,reason_type,market,trade_market,buy_seats,sell_seats,buy_ratio,sell_ratio
20260916,002281,002281.SZ,光迅科技,185.21,10.0018,5.2447,7404579914.0,1014858445.79,1747590743.9,732732298.11,33.497147317168,13.705820689047,日涨幅偏离值达到7%的前5只证券,2家机构买入，成功率39.66%,SZ,深交所主板,11313.0,11313.0,22.111619208192,9.388431014914
20260916,002491,002491.SZ,通鼎互联,24.45,9.9865,24.5019,12559534118.0,914138161.16,1855449146.06,941310984.9,22.268024471957,7.278440048583,连续三个交易日内，涨幅偏离值累计达到20%的证券,2家机构买入，成功率42.07%,SZ,深交所主板,11331.0,11311.0,13.206784260036,6.752476617302
20260916,688432,688432.SH,有研硅,54.06,20.0,6.1461,3913866000.0,706125518.63,923885809.75,217760291.12,29.169268975228,18.041637568328,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,买一主买，成功率44.36%,SH,上交所科创板,11111.0,11111.0,23.605453271778,5.563815703451
20260916,000592,000592.SZ,平潭发展,8.71,9.9747,17.8707,2889960143.0,456626115.65,639088236.46,182462120.81,28.42774005932,15.800429523432,日涨幅偏离值达到7%的前5只证券,普通席位买入，成功率46.90%,SZ,深交所主板,11111.0,11111.0,20.226742840239,6.270405190499
20260916,000823,000823.SZ,超声电子,25.12,5.1046,34.4319,13210813575.0,332692738.59,1848914586.12,1516221847.53,25.472590424091,2.518336487766,连续三个交易日内，涨幅偏离值累计达到20%的证券,2家机构买入，成功率41.23%,SZ,深交所主板,13131.0,11333.0,13.051263984096,11.459547097046
20260916,301486,301486.SZ,致尚科技,214.34,19.9978,17.1103,2534803623.0,260123610.41,477486791.94,217363181.53,27.412378898513,10.262081371895,日涨幅达到15%的前5只证券,3家机构买入，成功率39.51%,SZ,深交所创业板,13133.0,13133.0,18.837230135204,8.575148763309
20260916,301251,301251.SZ,威尔高,81.78,20.0,8.7851,2946798146.0,178113123.12,875195616.69,697082493.57,53.355473716251,6.044293307357,连续三个交易日内，涨幅偏离值累计达到30%的证券,2家机构买入，成功率41.94%,SZ,深交所创业板,11313.0,11333.0,25.21999996365,21.220988826087
20260916,600103,600103.SH,青山纸业,3.69,10.1493,11.8824,928587212.0,142307391.98,246409912.0,104102520.02,37.746851075524,15.325150954157,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,普通席位买入，成功率44.57%,SH,上交所主板,11111.0,11111.0,26.53600101484,11.210850060683
20260916,301373,301373.SZ,凌玮科技,128.0,16.7883,21.8875,3789555604.0,142264111.31,732432426.44,590168315.13,34.901209529,3.754110670914,连续三个交易日内，涨幅偏离值累计达到30%的证券,3家机构买入，成功率41.50%,SZ,深交所创业板,11333.0,13331.0,17.469340664675,13.557455169353
20260916,600359,600359.SH,新农开发,7.58,-3.8071,29.8001,849040705.0,136545742.99,223344432.32,86798689.33,36.52865166812,16.082355320055,有价格涨跌幅限制的日换手率达到20%的前五只证券,普通席位卖出，成功率42.28%,SH,上交所主板,11111.0,11111.0,26.305503494087,10.223148174033
20260916,603082,603082.SH,北自科技,52.98,10.0083,33.4644,1400668428.0,135109953.12,283523448.42,148413495.3,30.837915318528,9.646105417891,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,普通席位买入，成功率41.36%,SH,上交所主板,11111.0,13111.0,20.242010368209,10.595904950318
