trade_date,code,name,main_net_inflow,super_net_inflow,big_net_inflow
20260831,300917,特发服务,30846367.0,42259612.0,-11413245.0
20260831,002285,世联行,46635373.0,54146444.0,-7511071.0
20260831,000402,金 融 街,27132487.0,56415591.0,-29283104.0
20260831,000736,中交发展,40339569.0,32353756.0,7985813.0
20260831,600162,香江控股,-363265030.0,-225302982.0,-137962048.0
20260831,000514,渝 开 发,24441896.0,17102927.0,7338969.0
20260831,000716,黑芝麻,48676295.0,84822984.0,-36146689.0
20260831,603086,先达股份,13579097.0,15519857.0,-1940760.0
20260831,600354,敦煌种业,-95075451.0,30324581.0,-125400032.0
20260831,002918,蒙娜丽莎,25944543.0,20995046.0,4949497.0
20260831,605188,国光连锁,35001179.0,21270399.0,13730780.0
20260831,600683,京投发展,-60304707.0,28720760.0,-89025467.0
20260831,600159,大龙地产,56251785.0,51507228.0,4744557.0
20260831,001298,好上好,98563604.0,76185064.0,22378540.0
20260831,603801,志邦家居,36449743.0,15373970.0,21075773.0
20260831,002029,七 匹 狼,81598583.0,2437094.0,79161489.0
20260831,002862,实丰文化,40680325.0,21509874.0,19170451.0
20260831,603958,哈森股份,34069763.0,9094034.0,24975729.0
20260831,002860,星帅尔,14525386.0,4251558.0,10273828.0
20260831,002696,百洋股份,22102492.0,13198620.0,8903872.0
20260831,002103,广博股份,22923333.0,8441638.0,14481695.0
20260831,601599,浙文影业,25127934.0,9125616.0,16002318.0
20260831,000917,电广传媒,93522018.0,75292171.0,18229847.0
20260831,002871,伟隆股份,12416774.0,12718181.0,-301407.0
