trade_date,code,name,seat_code,seat_name,seat_abbr,act_buy,act_sell,net_amt,reason,change_rate
20260924,000592,平潭发展,10046745,开源证券股份有限公司西安西大街证券营业部,开源证券西安西大街证券营业部,208306429.0,193638.0,208112791.0,日涨幅偏离值达到7%的前5只证券,10.0251
20260924,300300,海峡创新,10634757,深股通专用,深股通专用,142056777.28,8802123.0,133254654.28,日涨幅达到15%的前5只证券,19.9778
20260924,600815,厦工股份,10046745,开源证券股份有限公司西安西大街证券营业部,开源证券西安西大街证券营业部,128416895.57,,128416895.57,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,9.9291
20260924,002119,康强电子,10046745,开源证券股份有限公司西安西大街证券营业部,开源证券西安西大街证券营业部,216488517.0,117476885.0,99011632.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.9926
20260924,600815,厦工股份,10000100571,摩根大通证券(中国)有限公司上海银城中路证券营业部,摩根大通证券(中国)上海银城中路证券营业部,97506103.74,,97506103.74,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,9.9291
20260924,000592,平潭发展,10026736,国泰海通证券股份有限公司广州临江大道证券营业部,国泰海通证券广州临江大道证券营业部,96832293.18,216952.0,96615341.18,日涨幅偏离值达到7%的前5只证券,10.0251
20260924,002119,康强电子,10485107,国新证券股份有限公司北京分公司,国新证券北京分公司,90928994.0,28086.0,90900908.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.9926
20260924,002119,康强电子,10485107,国新证券股份有限公司北京分公司,国新证券北京分公司,90913781.0,20299.0,90893482.0,日换手率达到20%的前5只证券,9.9926
20260924,002119,康强电子,10485107,国新证券股份有限公司北京分公司,国新证券北京分公司,90913781.0,20299.0,90893482.0,日涨幅偏离值达到7%的前5只证券,9.9926
20260924,000592,平潭发展,10485107,国新证券股份有限公司北京分公司,国新证券北京分公司,90829066.0,6146.0,90822920.0,日涨幅偏离值达到7%的前5只证券,10.0251
20260924,000592,平潭发展,10201214,国泰海通证券股份有限公司上海分公司,国泰海通证券上海分公司,80757562.0,51802.0,80705760.0,日涨幅偏离值达到7%的前5只证券,10.0251
20260924,000504,南华生物,10025390,国泰海通证券股份有限公司北京知春路证券营业部,国泰海通证券北京知春路证券营业部,79920497.0,516702.0,79403795.0,日换手率达到20%的前5只证券,7.6019
20260924,000504,南华生物,10025390,国泰海通证券股份有限公司北京知春路证券营业部,国泰海通证券北京知春路证券营业部,79920497.0,516702.0,79403795.0,日振幅值达到15%的前5只证券,7.6019
20260924,000504,南华生物,10025390,国泰海通证券股份有限公司北京知春路证券营业部,国泰海通证券北京知春路证券营业部,80396068.0,1311629.0,79084439.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,7.6019
20260924,603042,华脉科技,10046745,开源证券股份有限公司西安西大街证券营业部,开源证券西安西大街证券营业部,79026973.0,,79026973.0,有价格涨跌幅限制的日换手率达到20%的前五只证券,9.9824
