trade_date,code,secucode,name,close_price,change_rate,turnover_rate,accum_amount,lhb_net_amt,lhb_buy_amt,lhb_sell_amt,deal_amount_ratio,deal_net_ratio,reason,reason_type,market,trade_market,buy_seats,sell_seats,buy_ratio,sell_ratio
20260924,000592,000592.SZ,平潭发展,8.78,10.0251,17.0053,2717291126.0,475076359.6,635090848.71,160014489.11,29.260955155381,17.483454571882,日涨幅偏离值达到7%的前5只证券,买一主买，成功率43.65%,SZ,深交所主板,11111.0,11111.0,20.25211789655,5.245661414272
20260924,300300,300300.SZ,海峡创新,10.81,19.9778,24.2562,1604221029.0,287748113.28,363586890.51,75838777.23,27.391840637691,17.936936873304,日涨幅达到15%的前5只证券,买一主买，成功率34.35%,SZ,深交所创业板,11111.0,11111.0,19.413114753528,4.090469333325
20260924,002164,002164.SZ,宁波东力,13.06,10.0253,14.9331,2175305917.0,265090347.8,507275638.88,242185291.08,34.453127907343,12.186347939769,连续三个交易日内，涨幅偏离值累计达到20%的证券,2家机构买入，成功率40.42%,SZ,深交所主板,13131.0,13311.0,19.01890652008,10.606714957969
20260924,301689,301689.SZ,电科思仪,83.88,20.0,56.7077,4443255699.0,174265503.76,560648767.76,386383264.0,21.313921500695,3.922022849129,连续三个交易日内，涨幅偏离值累计达到30%的证券,5家机构买入，成功率31.08%,SZ,深交所创业板,33333.0,33133.0,11.859016258925,7.918164494994
20260924,002413,002413.SZ,雷科防务,8.97,10.0613,17.2127,1977372525.0,170997235.17,351385229.27,180387994.1,26.892920612923,8.647699561316,日涨幅偏离值达到7%的前5只证券,2家机构买入，成功率41.38%,SZ,深交所主板,11133.0,13131.0,16.277946780412,8.101669163224
20260924,002614,002614.SZ,奥佳华,8.33,10.0396,12.9915,1454429912.0,145426044.42,274768488.74,129342444.32,27.784833750036,9.998834816318,连续三个交易日内，涨幅偏离值累计达到20%的证券,2家机构买入，成功率40.47%,SZ,深交所主板,31113.0,33131.0,13.53155034603,8.186784618329
20260924,603042,603042.SH,华脉科技,18.73,9.9824,27.6642,1042459177.0,141875250.06,244201895.73,102326645.67,33.241449549827,13.609669634095,有价格涨跌幅限制的日换手率达到20%的前五只证券,普通席位买入，成功率43.44%,SH,上交所主板,11111.0,11111.0,23.425559591961,9.815889957867
20260924,600792,600792.SH,云煤能源,5.7,10.0386,16.4165,1020598468.0,140071666.0,262107538.0,122035872.0,37.639034551245,13.72446367419,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,普通席位买入，成功率52.96%,SH,上交所主板,11111.0,11111.0,25.681749112717,11.957285438528
20260924,300192,300192.SZ,科德教育,25.31,10.2832,12.808,2664255446.0,119336057.5,573798284.88,454462227.38,38.594666806585,4.479152240419,连续三个交易日内，涨幅偏离值累计达到30%的证券,3家机构买入，成功率39.33%,SZ,深交所创业板,13313.0,13313.0,21.531655823066,16.053441223218
20260924,000504,000504.SZ,南华生物,13.73,7.6019,35.0013,1525092476.0,117078833.0,234403387.0,117324554.0,23.062728754817,7.676835001316,日振幅值达到15%的前5只证券,2家机构买入，成功率42.58%,SZ,深交所主板,11133.0,31113.0,14.094395545363,7.130799916162
