board_code,board_name,pct,main_net_inflow,leader_code,leader_name,leader_pct
BK1508,畜禽饲料,8.46,784665424.0,001366,播恩集团,10.04
BK1512,生猪养殖,6.23,791206992.0,002124,天邦食品,10.0
BK1556,教育运营及其他,6.08,7835729.0,300010,ST豆神,10.42
BK1258,饲料,5.98,776818400.0,001366,播恩集团,10.04
BK1296,视频媒体,5.46,162506784.0,300413,芒果超媒,5.46
BK1259,养殖业,5.36,752105536.0,002124,天邦食品,10.0
BK1341,房产租赁经纪,5.31,757260192.0,000560,我爱我家,10.14
BK1360,金融信息服务,4.89,200792288.0,603123,翠微股份,10.04
BK1548,综合电商,4.68,137857553.0,603613,国联股份,9.36
BK1510,其他养殖,4.61,-1878551.0,300313,天山生物,6.51
BK1513,海洋捕捞,4.49,91797574.0,000798,中水渔业,9.98
BK1511,肉鸡养殖,4.45,-37222889.0,002299,圣农发展,5.43
BK1342,房地产综合服务,4.27,-9355300.0,600684,珠江股份,4.27
BK1501,动物保健Ⅲ,4.27,60047190.0,002868,绿康生化,10.01
BK1254,动物保健Ⅱ,4.27,60047190.0,002868,绿康生化,10.01
BK1469,涂料,4.27,12500888.0,603378,*ST亚士,8.0
BK1509,水产饲料,4.25,-12466393.0,603668,天马科技,6.14
BK1578,其他酒类,3.83,288187167.0,601579,会稽山,10.01
BK1260,渔业,3.64,120073087.0,000798,中水渔业,9.98
BK0433,农林牧渔,3.61,3015932160.0,600108,亚盛集团,10.1
BK1516,其他种植业,3.49,222352480.0,600108,亚盛集团,10.1
BK1568,人力资源服务,3.14,11455078.0,300662,科锐国际,6.9
BK1560,酒店,3.12,113409503.0,000428,华天酒店,10.09
BK1383,航海装备Ⅲ,3.1,2186877856.0,600150,中国船舶,9.18
BK1230,航海装备Ⅱ,3.1,2186877856.0,600150,中国船舶,9.18
BK1581,预加工食品,3.02,50768687.0,002702,海欣食品,10.0
BK1514,水产养殖,3.01,28275513.0,300094,国联水产,5.35
BK1279,非白酒,2.86,295834031.0,601579,会稽山,10.01
BK1575,白酒Ⅲ,2.82,1031836576.0,000860,顺鑫农业,5.35
BK1277,白酒Ⅱ,2.82,1031836576.0,000860,顺鑫农业,5.35
BK1297,图片媒体,2.81,38687919.0,000681,视觉中国,2.81
BK1045,房地产服务,2.81,668989568.0,000560,我爱我家,10.14
BK1298,文字媒体,2.8,171822752.0,603533,掌阅科技,3.05
BK1293,营销代理,2.79,3772204976.0,301171,易点天下,11.12
