trade_date,code,secucode,name,close_price,change_rate,turnover_rate,accum_amount,lhb_net_amt,lhb_buy_amt,lhb_sell_amt,deal_amount_ratio,deal_net_ratio,reason,reason_type,market,trade_market,buy_seats,sell_seats,buy_ratio,sell_ratio
20260909,603186,603186.SH,华正新材,212.06,10.001,14.4141,13586242521.0,488994450.34,2420480441.81,1931485991.47,32.032156253307,3.599188293483,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,买一主买，成功率50.09%,SH,上交所主板,11111.0,11111.0,17.815672273395,14.216483979912
20260909,002155,002155.SZ,湖南黄金,28.45,10.0155,9.4743,4053062628.0,439263771.32,709761424.2,270497652.88,24.185638541779,10.837823434689,日涨幅偏离值达到7%的前5只证券,2家机构买入，成功率41.31%,SZ,深交所主板,13311.0,13331.0,15.879495477167,6.139140860075
20260909,002815,002815.SZ,崇达技术,18.06,5.7377,17.2819,7198620170.0,328952440.56,1408640597.22,1079688156.66,34.566746058502,4.569659640203,连续三个交易日内，涨幅偏离值累计达到20%的证券,3家机构买入，成功率42.36%,SZ,深交所主板,13331.0,11331.0,18.130978812708,13.914494399696
20260909,002349,002349.SZ,精华制药,9.26,9.9762,14.9712,1754482061.0,227130143.64,360691139.4,133560995.76,28.17082865346,12.945709089242,连续三个交易日内，涨幅偏离值累计达到20%的证券,普通席位买入，成功率34.13%,SZ,深交所主板,11111.0,13111.0,15.915703070846,7.564424550705
20260909,601890,601890.SH,亚星锚链,10.08,10.0437,14.0583,1335611097.0,212477890.67,291245987.85,78768097.18,27.703729465944,15.908664666478,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,买一主买，成功率53.52%,SH,上交所主板,11111.0,11111.0,21.806197066211,5.897532399733
20260909,301699,301699.SZ,洛轴股份,31.99,101.4484,80.1971,1840767558.0,151240416.12,182759965.49,31519549.37,11.640769847814,8.216160452345,无价格涨跌幅限制的证券,3家机构买入，成功率40.08%,SZ,深交所创业板,33131.0,31113.0,8.895553559619,1.663292556246
20260909,000930,000930.SZ,中粮科技,6.41,9.9485,4.7554,788837710.0,140024291.61,228677364.03,88653072.42,40.227594653151,17.750709662448,连续三个交易日内，涨幅偏离值累计达到20%的证券,买一主买，成功率44.99%,SZ,深交所主板,11111.0,13111.0,25.899498140118,10.826692910003
20260909,000980,000980.SZ,众泰汽车,2.02,9.7826,3.4421,989362434.0,89046615.0,210020377.39,120973762.39,33.455296906897,9.000403890411,连续三个交易日内，涨幅偏离值累计达到20%的证券,1家机构买入，成功率42.22%,SZ,深交所主板,11131.0,13331.0,17.746006757116,10.710317307237
20260909,688655,688655.SH,迅捷兴,56.52,3.0259,13.4487,3020614500.0,81049319.48,443671648.41,362622328.93,26.693044654987,2.683206330368,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券,普通席位买入，成功率44.43%,SH,上交所科创板,11111.0,11111.0,14.688125492677,12.004919162309
20260909,002068,002068.SZ,黑猫股份,10.01,10.0,16.9363,1671658078.0,60201467.0,256011318.01,195809851.01,27.028324450211,3.601302670222,连续三个交易日内，涨幅偏离值累计达到20%的证券,2家机构买入，成功率34.21%,SZ,深交所主板,11313.0,11333.0,13.80237182451,10.07281131387
20260909,002297,002297.SZ,博云新材,22.5,0.8065,31.5152,4043670228.0,56951773.32,355317162.76,298365389.44,16.16557521614,1.408417850834,日换手率达到20%的前5只证券,1家机构买入，成功率33.03%,SZ,深交所主板,13111.0,13113.0,8.312473224757,6.782420127659
20260909,002295,002295.SZ,精艺股份,11.58,9.9715,2.9121,265037462.0,55206723.23,84915374.53,29708651.3,43.248235538114,20.829781123546,连续三个交易日内，涨幅偏离值累计达到20%的证券,买一主买，成功率46.65%,SZ,深交所主板,11111.0,31311.0,30.065920465991,10.756637980483
20260909,002702,002702.SZ,海欣食品,6.45,-5.0074,37.9559,1137994583.0,55133293.5,184837139.15,129703845.65,27.639936911721,4.844776444775,日换手率达到20%的前5只证券,4家机构卖出，成功率39.64%,SZ,深交所主板,33331.0,31333.0,14.804881127453,10.562223093641
20260909,000798,000798.SZ,中水渔业,12.67,9.9826,25.8228,1150095141.0,53860784.51,120483611.5,66622826.99,16.268779148768,4.683159035275,日涨幅偏离值达到7%的前5只证券,普通席位买入，成功率59.29%,SZ,深交所主板,11111.0,31331.0,6.544546995873,5.461460165407
20260909,300189,300189.SZ,神农种业,7.78,1.3021,34.0981,2312996222.0,48232967.2,292544467.49,244311500.29,23.210412653238,2.085302463585,日换手率达到30%的前5只证券,2家机构买入，成功率39.27%,SZ,深交所创业板,13131.0,13311.0,11.209703082256,9.666296889005
20260909,600127,600127.SH,金健米业,14.33,-3.1102,38.9258,3614297526.0,42869394.84,443755795.31,400886400.47,23.369470545907,1.186105862387,有价格涨跌幅限制的日换手率达到20%的前五只证券,普通席位卖出，成功率44.50%,SH,上交所主板,11111.0,11111.0,12.277788204147,11.091682341759
20260909,688001,688001.SH,华兴源创,66.31,8.5981,4.0399,3866126500.0,42867755.77,703427875.35,660560119.58,35.280480215275,1.108803754093,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券,买一主买，成功率49.71%,SH,上交所科创板,11111.0,11113.0,18.194641984683,17.085838230591
20260909,600540,600540.SH,新赛股份,7.21,10.0763,32.0754,1291393679.0,39491955.87,185945546.87,146453591.0,25.739566739044,3.058088057282,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,普通席位买入，成功率44.46%,SH,上交所主板,11111.0,11111.0,14.398827398163,11.340739340881
20260909,603900,603900.SH,莱绅通灵,7.45,10.0443,11.3662,274873571.0,30962947.0,55329608.0,24366661.0,28.993791112788,11.264432185079,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,1家机构买入，成功率43.95%,SH,上交所主板,31111.0,11111.0,20.129111648933,8.864679463854
20260909,600359,600359.SH,新农开发,8.76,10.0503,10.2345,335687763.0,24612776.28,49225042.0,24612265.72,21.99582941604,7.332044534492,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,普通席位买入，成功率57.15%,SH,上交所主板,11111.0,11111.0,14.663936975266,7.331892440774
20260909,123283,123283.SZ,丰茂转债,157.3,57.3,,22536677.0,18930437.5,21294201.5,2363764.0,104.975394109788,83.998352995874,上市首日可转债,None,SZ,深圳证券交易所,11111.0,31111.0,94.48687355283,10.475195611137
20260909,000978,000978.SZ,桂林旅游,8.81,9.9875,26.0434,1009111003.0,11093355.62,93980279.76,82886924.14,17.52703155294,1.099319657304,日振幅值达到15%的前5只证券,3家机构买入，成功率29.25%,SZ,深交所主板,33311.0,31311.0,8.357020338623,7.792931888188
20260909,000020,000020.SZ,深华发A,14.9,8.7591,6.5585,381744091.0,10875599.0,90645560.0,79769961.0,44.64129897953,2.848923992906,连续三个交易日内，涨幅偏离值累计达到20%的证券,3家机构买入，成功率23.94%,SZ,深交所主板,31133.0,13331.0,19.422093425409,18.443533681312
20260909,002046,002046.SZ,国机精工,59.44,9.9926,4.0509,1252215676.0,10670047.28,191028290.28,180358243.0,29.658352023378,0.852093412062,日涨幅偏离值达到7%的前5只证券,1家机构买入，成功率21.39%,SZ,深交所主板,11311.0,13313.0,13.263344123797,14.296274789646
