board_code,board_name,pct,main_net_inflow,leader_code,leader_name,leader_pct
BK1556,教育运营及其他,6.03,107919350.0,300010,ST豆神,9.43
BK1516,其他种植业,5.96,-150268864.0,600359,新农开发,10.05
BK1443,橡胶助剂,5.46,605443623.0,603650,彤程新材,10.0
BK1592,通信线缆及配套,4.98,4495484672.0,603042,华脉科技,10.02
BK1383,航海装备Ⅲ,4.67,858062880.0,601890,亚星锚链,10.04
BK1230,航海装备Ⅱ,4.67,858062880.0,601890,亚星锚链,10.04
BK1493,动力煤,3.84,401923888.0,600403,大有能源,10.0
BK1513,海洋捕捞,3.73,70687109.0,000798,中水渔业,9.98
BK1409,激光设备,3.64,2169585824.0,688559,海目星,12.5
BK1482,航运,3.48,1070726368.0,603162,海通发展,9.98
BK1250,煤炭开采,3.32,409789952.0,600403,大有能源,10.0
BK0437,煤炭,3.29,486708576.0,600403,大有能源,10.0
BK1432,氮肥,3.28,-117039264.0,000912,泸天化,9.94
BK1503,果蔬加工,3.15,60652699.0,000972,中基健康,10.08
BK1492,焦炭Ⅲ,3.13,76918608.0,600792,云煤能源,10.07
BK1249,焦炭Ⅱ,3.13,76918608.0,600792,云煤能源,10.07
BK1300,院线,2.83,61666690.0,002905,金逸影视,4.73
BK1260,渔业,2.82,103798968.0,000798,中水渔业,9.98
BK0450,航运港口,2.81,1131112752.0,603162,海通发展,9.98
BK1323,综合电力设备商,2.76,271367136.0,600875,东方电气,5.52
BK1340,印制电路板,2.73,4359789312.0,603328,依顿电子,10.0
BK1371,铁矿石,2.62,-33526576.0,000923,河钢资源,6.98
BK1397,磨具磨料,2.53,368036688.0,002046,国机精工,9.99
BK1615,铜,2.48,571902720.0,002295,精艺股份,9.97
BK1494,焦煤,2.45,7866079.0,600395,盘江股份,5.34
BK1442,炭黑,2.3,19877975.0,002068,黑猫股份,10.0
BK1617,黄金,2.24,759001936.0,002155,湖南黄金,10.02
BK0732,贵金属,2.23,902099760.0,002155,湖南黄金,10.02
BK1616,白银,2.2,143097824.0,000426,兴业银锡,2.49
BK0459,元件,2.14,4962682368.0,603328,依顿电子,10.0
BK1514,水产养殖,2.14,33111841.0,600467,好当家,3.46
BK1481,港口,2.03,60386416.0,002040,南 京 港,10.03
BK1380,水力发电,2.03,360696176.0,000993,闽东电力,9.97
BK1228,冶钢原料,1.81,-56581840.0,000923,河钢资源,6.98
BK1377,火力发电,1.64,831612352.0,000690,宝新能源,5.66
BK1287,工业金属,1.61,888175104.0,002295,精艺股份,9.97
BK1382,地面兵装Ⅲ,1.57,119486752.0,688543,国科军工,8.41
BK1229,地面兵装Ⅱ,1.57,119486752.0,688543,国科军工,8.41
BK1256,农产品加工,1.57,-721191344.0,000930,中粮科技,9.95
BK1486,仓储物流,1.48,14495670.0,603066,音飞储存,4.95
BK1624,其他小金属,1.45,615084016.0,001280,中国铀业,5.94
BK1462,玻纤制造,1.42,1191483520.0,605006,山东玻纤,5.9
BK1328,集成电路封测,1.37,647987680.0,002077,大港股份,10.01
BK1312,线缆部件及其他,1.32,186412800.0,002498,汉缆股份,9.94
BK1505,其他农产品加工,1.27,-611721808.0,000930,中粮科技,9.95
BK1613,铝,1.26,235304624.0,002532,天山铝业,6.04
BK1578,其他酒类,1.22,253093846.0,601579,会稽山,10.0
BK1373,电能综合服务,1.22,17430053.0,600969,郴电国际,3.82
BK1614,铅锌,1.2,80968080.0,601020,华钰矿业,3.15
BK1552,超市,1.2,-112013472.0,000759,中百集团,10.0
BK1384,航空装备Ⅲ,1.18,335338656.0,688708,佳驰科技,8.11
BK1231,航空装备Ⅱ,1.18,335338656.0,688708,佳驰科技,8.11
BK1571,油品石化贸易,1.14,72389291.0,001316,润贝航科,4.87
BK1204,国防军工,1.1,1686668800.0,601890,亚星锚链,10.04
BK1433,复合肥,1.1,71825655.0,002470,金正大,9.88
BK0478,有色金属,1.07,2643366912.0,002295,精艺股份,9.97
BK1590,其他通信设备,1.02,80684088.0,600776,东方通信,5.25
BK1027,小金属,1.02,594936544.0,001280,中国铀业,5.94
BK0428,电力,1.01,1314705504.0,000993,闽东电力,9.97
BK1018,橡胶,0.94,667642400.0,002068,黑猫股份,10.0
BK1504,粮油加工,0.93,-170122208.0,000019,深粮控股,10.01
BK1261,种植业,0.93,-416546976.0,600359,新农开发,10.05
BK1544,大宗用纸,0.89,-25397201.0,000488,ST晨鸣,8.29
BK1569,炼油化工,0.86,145706720.0,600506,统一股份,5.64
BK1274,炼化及贸易,0.84,349656832.0,002377,国创高新,10.14
BK1625,钨,0.84,86207184.0,600549,厦门钨业,1.82
BK1521,摩托车,0.83,-3556389.0,003033,征和工业,6.43
BK1450,空调,0.81,234906656.0,000651,格力电器,1.51
BK0427,公用事业,0.81,1198756112.0,000993,闽东电力,9.97
BK1509,水产饲料,0.81,-107329.0,002696,百洋股份,2.78
BK1367,板材,0.8,-39263024.0,600126,杭钢股份,2.82
BK1210,交通运输,0.73,1070135872.0,603162,海通发展,9.98
BK1477,其他专业工程,0.73,48198496.0,920019,铜冠矿建,12.79
BK1570,其他石化,0.71,131560847.0,002377,国创高新,10.14
BK1425,胶黏剂及胶带,0.69,4648574.0,603051,鹿山新材,5.32
BK0479,钢铁,0.68,-150179248.0,000923,河钢资源,6.98
BK1424,氟化工,0.66,-51558400.0,002915,中欣氟材,3.85
BK1411,非金属材料Ⅲ,0.65,684202272.0,688300,联瑞新材,8.41
BK1020,非金属材料Ⅱ,0.65,684202272.0,688300,联瑞新材,8.41
BK1339,被动元件,0.65,602892912.0,920128,胜业电气,11.29
BK1263,摩托车及其他,0.65,-25878923.0,301322,绿通科技,11.33
BK1226,普钢,0.62,-56514528.0,600126,杭钢股份,2.82
BK1620,钴,0.61,-2536352.0,300618,寒锐钴业,0.63
BK1372,冶钢辅料,0.61,-23055252.0,600295,鄂尔多斯,1.22
BK1374,风力发电,0.6,12838128.0,600163,中闽能源,2.66
BK1553,多业态零售,0.6,-9366517.0,600778,友好集团,9.93
BK1622,镍,0.55,18299428.0,603799,华友钴业,0.55
BK1453,彩电,0.54,-48143784.0,002848,高斯贝尔,1.9
BK1611,国有大型银行Ⅲ,0.53,261297856.0,601939,建设银行,1.31
BK1378,其他能源发电,0.53,-5027091.0,000631,顺发恒能,0.66
BK0546,玻璃玻纤,0.51,1208129200.0,605006,山东玻纤,5.9
BK1325,半导体材料,0.49,-813255504.0,688721,龙图光罩,5.74
BK1531,商用载客车,0.49,-48446244.0,000957,中通客车,1.64
BK1522,其他运输设备,0.49,-22322522.0,301322,绿通科技,11.33
BK1386,军工电子Ⅲ,0.46,245923104.0,920008,成电光信,7.87
BK1233,军工电子Ⅱ,0.46,245923104.0,920008,成电光信,7.87
BK1419,煤化工,0.45,-92293680.0,600623,华谊集团,2.51
BK1512,生猪养殖,0.45,19520224.0,000735,罗 牛 山,3.08
BK0433,农林牧渔,0.43,-1290450432.0,000930,中粮科技,9.95
BK1385,航天装备Ⅲ,0.42,127857562.0,003009,中天火箭,2.19
