trade_date,code,name,main_net_inflow,super_net_inflow,big_net_inflow
20260825,002437,誉衡药业,424940160.0,496014704.0,-71074544.0
20260825,002636,金安国纪,363877392.0,389319984.0,-25442592.0
20260825,600330,天通股份,307940240.0,496038912.0,-188098672.0
20260825,002515,金字火腿,143410112.0,8114208.0,135295904.0
20260825,300542,新晨科技,125024764.0,111169459.0,13855305.0
20260825,000795,英洛华,118473259.0,121820763.0,-3347504.0
20260825,002176,江特电机,29894291.0,106361251.0,-76466960.0
20260825,002627,三峡旅游,43283016.0,48623416.0,-5340400.0
20260825,001268,联合精密,1609794.0,-1762868.0,3372662.0
20260825,002574,明牌珠宝,17248206.0,17449828.0,-201622.0
20260825,600844,金煤科技,60917598.0,41154362.0,19763236.0
20260825,000523,红棉股份,102746847.0,107652601.0,-4905754.0
20260825,002172,澳洋健康,-11965865.0,-3056139.0,-8909726.0
20260825,002853,皮阿诺,3527349.0,15581576.0,-12054227.0
20260825,600354,敦煌种业,104597626.0,88653816.0,15943810.0
20260825,000716,黑芝麻,23870345.0,19928468.0,3941877.0
20260825,002333,罗普斯金,42981010.0,28782530.0,14198480.0
20260825,301130,西点药业,54233824.0,96997020.0,-42763196.0
20260825,000759,中百集团,88737961.0,57616496.0,31121465.0
20260825,002953,日丰股份,29561984.0,17672791.0,11889193.0
20260825,600162,香江控股,92288043.0,62268311.0,30019732.0
20260825,002394,联发股份,23652549.0,1637744.0,22014805.0
