board_code,board_name,pct,main_net_inflow,leader_code,leader_name,leader_pct
BK1200,电力设备,2.1,3311907840.0,002298,中电鑫龙,10.02
BK1590,其他通信设备,2.06,4800832.0,300711,广哈通信,6.36
BK1451,厨房电器,2.05,67321414.0,300911,亿田智能,11.13
BK1237,自动化设备,2.03,1260982528.0,300097,智云股份,11.17
BK1202,房地产,2.02,1710602224.0,600606,绿地控股,9.85
BK1422,无机盐,2.01,127582352.0,600367,红星发展,4.86
BK1593,通信终端及配件,2.01,149897536.0,603118,共进股份,10.03
BK0457,电网设备,2.0,1571162688.0,002298,中电鑫龙,10.02
BK1044,生物制品,1.99,149079136.0,301080,百普赛斯,10.27
BK1266,文娱用品,1.97,19834920.0,001238,浙江正特,9.99
BK1596,其他生物制品,1.95,63041200.0,301080,百普赛斯,10.27
