trade_date,code,name,main_net_inflow,super_net_inflow,big_net_inflow
20260918,002080,中材科技,228491584.0,263149696.0,-34658112.0
20260918,003026,中晶科技,-146289984.0,-57001280.0,-89288704.0
20260918,000710,贝瑞基因,85492842.0,112465271.0,-26972429.0
20260918,002693,双成药业,54922563.0,34072536.0,20850027.0
20260918,000920,沃顿科技,-10452630.0,-4211649.0,-6240981.0
20260918,600156,华升股份,8804530.0,11422631.0,-2618101.0
20260918,000993,闽东电力,182775825.0,192360689.0,-9584864.0
20260918,002172,澳洋健康,271518255.0,295153019.0,-23634764.0
20260918,301080,百普赛斯,100103696.0,98867072.0,1236624.0
20260918,603177,德创环保,18440459.0,13395976.0,5044483.0
20260918,002631,德尔未来,-41649002.0,72020570.0,-113669572.0
20260918,688261,东微半导,102314022.0,166639670.0,-64325648.0
