trade_date,code,name,seat_code,seat_name,seat_abbr,act_buy,act_sell,net_amt,reason,change_rate
20260921,002080,中材科技,10456710,国盛证券股份有限公司宁波桑田路证券营业部,国盛证券宁波桑田路证券营业部,226561228.01,7934803.98,218626424.03,日涨幅偏离值达到7%的前5只证券,9.9967
20260921,002080,中材科技,10634757,深股通专用,深股通专用,393686382.59,180190624.49,213495758.1,日涨幅偏离值达到7%的前5只证券,9.9967
20260921,002080,中材科技,10026897,国泰海通证券股份有限公司成都天府大道证券营业部,国泰海通证券成都天府大道证券营业部,205255190.46,2660112.3,202595078.16,日涨幅偏离值达到7%的前5只证券,9.9967
20260921,000002,万科A,10747353,华福证券股份有限公司南京胜太路证券营业部,华福证券南京胜太路证券营业部,160216165.76,23530.0,160192635.76,日涨幅偏离值达到7%的前5只证券,9.9398
20260921,002585,双星新材,10026937,国泰海通证券股份有限公司武汉紫阳东路证券营业部,国泰海通证券武汉紫阳东路证券营业部,157473702.0,161209.0,157312493.0,日涨幅偏离值达到7%的前5只证券,10.0433
20260921,002080,中材科技,10000866017,联储证券股份有限公司杭州环城北路证券营业部,联储证券杭州环城北路证券营业部,142778556.0,0.0,142778556.0,日涨幅偏离值达到7%的前5只证券,9.9967
20260921,600721,百花医药,10025390,国泰海通证券股份有限公司北京知春路证券营业部,国泰海通证券北京知春路证券营业部,121162533.0,,121162533.0,有价格涨跌幅限制的日换手率达到20%的前五只证券,10.0418
20260921,600721,百花医药,10025390,国泰海通证券股份有限公司北京知春路证券营业部,国泰海通证券北京知春路证券营业部,121162533.0,,121162533.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,10.0418
20260921,001389,广合科技,10046745,开源证券股份有限公司西安西大街证券营业部,开源证券西安西大街证券营业部,117916418.0,18461.0,117897957.0,日涨幅偏离值达到7%的前5只证券,9.9982
20260921,600721,百花医药,10025390,国泰海通证券股份有限公司北京知春路证券营业部,国泰海通证券北京知春路证券营业部,214536911.0,97579322.98,116957588.02,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,10.0418
20260921,001389,广合科技,10026937,国泰海通证券股份有限公司武汉紫阳东路证券营业部,国泰海通证券武汉紫阳东路证券营业部,107572368.0,385248.0,107187120.0,日涨幅偏离值达到7%的前5只证券,9.9982
20260921,002792,通宇通讯,10634757,深股通专用,深股通专用,209382753.03,118160679.51,91222073.52,日涨幅偏离值达到7%的前5只证券,10.0
20260921,001389,广合科技,10485107,国新证券股份有限公司北京分公司,国新证券北京分公司,90248699.0,0.0,90248699.0,日涨幅偏离值达到7%的前5只证券,9.9982
20260921,600593,大连圣亚,10434470,沪股通专用,沪股通专用,183078570.0,97192658.0,85885912.0,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,10.0113
20260921,600721,百花医药,10485107,国新证券股份有限公司北京分公司,国新证券北京分公司,80534427.0,,80534427.0,有价格涨跌幅限制的日换手率达到20%的前五只证券,10.0418
20260921,600721,百花医药,10485107,国新证券股份有限公司北京分公司,国新证券北京分公司,80534427.0,,80534427.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,10.0418
20260921,300642,透景生命,10025390,国泰海通证券股份有限公司北京知春路证券营业部,国泰海通证券北京知春路证券营业部,80330277.0,235663.0,80094614.0,日涨幅达到15%的前5只证券,19.9882
20260921,002631,德尔未来,10634757,深股通专用,深股通专用,287100878.1,207161701.47,79939176.63,连续三个交易日内，涨幅偏离值累计达到20%的证券,6.8783
20260921,000560,我爱我家,10025390,国泰海通证券股份有限公司北京知春路证券营业部,国泰海通证券北京知春路证券营业部,80839069.0,936003.0,79903066.0,日振幅值达到15%的前5只证券,10.0
20260921,600721,百花医药,10485107,国新证券股份有限公司北京分公司,国新证券北京分公司,149742810.0,70137009.95,79605800.05,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,10.0418
20260921,002585,双星新材,10046745,开源证券股份有限公司西安西大街证券营业部,开源证券西安西大街证券营业部,78036152.0,157114.0,77879038.0,日涨幅偏离值达到7%的前5只证券,10.0433
20260921,600127,金健米业,10485003,东莞证券股份有限公司南京分公司,东莞证券南京分公司,75132289.0,,75132289.0,有价格涨跌幅限制的日换手率达到20%的前五只证券,9.986
20260921,600127,金健米业,10201214,国泰海通证券股份有限公司上海分公司,国泰海通证券上海分公司,144644552.15,72421650.0,72222902.15,有价格涨跌幅限制的日换手率达到20%的前五只证券,9.986
20260921,603001,奥康国际,10000066475,浙商证券股份有限公司平湖城南东路证券营业部,浙商证券平湖城南东路证券营业部,71401490.0,,71401490.0,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,9.9712
20260921,688112,鼎阳科技,10434470,沪股通专用,沪股通专用,127671791.03,58176672.56,69495118.47,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,20.0026
20260921,000560,我爱我家,10634757,深股通专用,深股通专用,109881008.7,40930793.0,68950215.7,日振幅值达到15%的前5只证券,10.0
20260921,600127,金健米业,10456489,金融街证券股份有限公司上海浦东新区成山路证券营业部,金融街证券上海浦东新区成山路证券营业部,62951089.0,,62951089.0,有价格涨跌幅限制的日换手率达到20%的前五只证券,9.986
20260921,301583,托伦斯,10088113,中国国际金融股份有限公司上海分公司,中国国际金融上海分公司,72637162.53,10407294.6,62229867.93,日换手率达到30%的前5只证券,-1.6554
20260921,688112,鼎阳科技,10434470,沪股通专用,沪股通专用,219516503.39,160659759.0,58856744.39,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券,20.0026
20260921,600606,绿地控股,10135341,中信证券股份有限公司上海分公司,中信证券上海分公司,53784494.19,,53784494.19,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,10.3448
20260921,688137,近岸蛋白,10110478,瑞银证券有限责任公司上海花园石桥路证券营业部,瑞银证券上海花园石桥路证券营业部,51542931.12,,51542931.12,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券,20.004
20260921,000823,超声电子,10101617,国泰海通证券股份有限公司无锡湖滨路证券营业部,国泰海通证券无锡湖滨路证券营业部,51859280.2,370848.0,51488432.2,日换手率达到20%的前5只证券,7.7844
20260921,000002,万科A,10101897,国泰海通证券股份有限公司常州健身路证券营业部,国泰海通证券常州健身路证券营业部,51447832.0,372088.0,51075744.0,日涨幅偏离值达到7%的前5只证券,9.9398
20260921,000002,万科A,10456710,国盛证券股份有限公司宁波桑田路证券营业部,国盛证券宁波桑田路证券营业部,51240062.0,308653.0,50931409.0,日涨幅偏离值达到7%的前5只证券,9.9398
20260921,002285,世联行,10484324,长城证券股份有限公司西北分公司,长城证券西北分公司,50570030.6,0.0,50570030.6,日振幅值达到15%的前5只证券,10.0346
20260921,300691,联合光电,10141895,东莞证券股份有限公司东莞凤岗证券营业部,东莞证券东莞凤岗证券营业部,46699681.07,0.0,46699681.07,日涨幅达到15%的前5只证券,20.0
20260921,000002,万科A,10025180,国泰海通证券股份有限公司成都顺城大街证券营业部,国泰海通证券成都顺城大街证券营业部,45453831.0,343570.0,45110261.0,日涨幅偏离值达到7%的前5只证券,9.9398
20260921,603120,肯特催化,10088113,中国国际金融股份有限公司上海分公司,中国国际金融上海分公司,43054751.81,,43054751.81,有价格涨跌幅限制的日换手率达到20%的前五只证券,4.6952
20260921,301008,宏昌科技,10046745,开源证券股份有限公司西安西大街证券营业部,开源证券西安西大街证券营业部,41702544.36,0.0,41702544.36,日涨幅达到15%的前5只证券,15.2179
20260921,600721,百花医药,10000399618,高盛(中国)证券有限责任公司上海浦东新区世纪大道证券营业部,高盛(中国)证券上海浦东新区世纪大道证券营业部,127491318.32,86293702.0,41197616.32,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,10.0418
